time,slope,tempratue,padel rotation,throttle,speed,current
73,-1.17,33.19,11,1001,43.62,1.74
74,-1.17,33.14,12,1000,43.36,8.66
75,-1.26,33.09,13,1014,27.03,8.39
76,-1.28,33.19,14,1000,28.6,8.47
77,-1.3,33.19,15,1001,11.99,8.55
78,-1.45,33.19,16,1001,25.5,9.34
79,-1.64,33.09,17,1000,23.98,8.47
80,-1.22,33.19,18,1004,20.27,9.29
81,-0.71,33.14,19,1001,17.83,9.55
82,-1.58,33.09,20,1002,19.35,8.31
83,-0.91,33.19,20,1001,22.45,8.55
84,0.74,33.05,20,999,28.88,8.45
85,1.13,33.05,21,1000,22.14,8.47
86,0.94,33.14,22,1003,20.89,8.63
87,0.96,33.19,23,1005,20.29,8.18
88,0.94,33.14,24,1000,19.97,8.6
89,1.01,33.14,25,1002,19.68,0.53
90,0.64,33.19,26,1001,18.12,1.24
91,0.56,33.19,27,1002,18.45,0.95
92,0.39,33.05,27,1002,22.42,1.9
93,0.38,33.05,28,1002,14.76,1.08
94,-0.16,33,29,1006,15.07,1.29
95,0.04,33.05,30,1002,18.12,1.27
96,0.07,33,31,999,18.45,0.9
97,0.18,32.91,32,999,17.2,1.06
98,-0.13,33,32,1001,16.91,1.08
99,-0.15,32.91,33,1001,17.82,1.24
100,-0.22,32.91,34,1001,21.83,1.11
101,-0.21,32.67,35,999,20.58,1.29
102,-0.41,32.81,36,255,14.76,1.37
103,-0.24,32.91,36,786,11.67,1.35
104,-0.65,32.86,36,1007,12.61,8.5
105,1.14,32.91,36,983,12.9,8.84
106,-0.42,32.86,36,1006,17.22,8.16
107,1.6,32.86,36,1002,16.28,8.84
108,2.4,32.91,36,1000,17.53,9.11
109,3.03,32.86,36,1000,16.28,8.92
110,3.91,32.86,36,992,16.6,8.34
111,3.59,32.77,36,226,13.52,9.03
35,-1.7,20.15,1,269,0.92,0.24
36,-1.56,20.25,1,275,0.92,0.24
306,-2.48,26.46,2,230,4.3,0.66
307,-1.89,26.46,2,227,5.84,0.66
308,-1.89,26.46,2,228,7.37,0.69
309,-1.95,26.65,2,226,9.22,0.69
310,-0.93,26.6,3,224,13.82,0.71
311,-0.99,26.65,3,227,9.85,0.71
312,-1.12,26.51,3,227,12.9,0.69
313,-1.39,26.55,3,226,3.07,0.69
9,-4.93,27.12,2,430,16.31,0.55
10,4.89,27.12,3,973,16.59,0.58
11,4.52,27.17,3,974,13.84,0.66
12,4.06,27.21,3,972,15.05,0.61
13,4.51,27.26,3,972,13.84,0.61
14,2.89,27.4,3,976,15.67,0.58
15,1.73,27.26,3,972,16.6,0.71
16,0.61,27.31,3,975,15.99,0.66
17,-0.32,27.45,3,973,24.91,1
18,-0.93,27.45,3,972,20.89,0.53
19,-0.96,27.49,3,981,39.36,0.53
20,-0.64,27.68,3,973,41.16,0.53
21,-0.4,27.54,3,974,31.36,0.45
22,-0.37,27.64,3,969,25.5,0.48
23,-0.54,27.68,3,970,31.67,0.45
24,-1.01,27.73,3,969,32.25,0.5
25,-0.43,27.68,3,1001,26.44,0.53
26,-0.78,27.78,3,969,23.68,0.42
27,-0.53,27.68,3,973,23.96,0.53
28,-0.23,27.78,3,967,24.93,0.53
29,-0.4,27.73,3,970,23.96,0.5
30,-0.28,27.78,3,959,24.29,0.58
31,0.09,27.78,3,969,26.11,0.61
32,0.79,27.78,3,971,25.83,0.61
33,2.18,27.92,3,493,35.02,0.61
34,1.88,28.01,3,1002,30.44,0.58
9,-5.21,28.29,0,979,24.57,0.45
10,2.13,28.29,0,279,29.24,0.48
11,1.92,28.34,0,288,25.83,0.5
12,0.9,28.44,0,315,22.42,0.48
13,0.45,28.44,0,286,15.68,0.48
14,0.01,28.44,0,335,4.61,0.5
20,4.08,29,1,594,17.53,0.5
60,0.47,29.94,22,843,52.02,0.66
61,0.6,30.04,23,839,31.95,0.66
62,-0.42,30.04,23,841,33.21,0.74
63,-0.74,30.04,23,807,30.13,0.71
64,-1.05,30.08,23,830,40.24,0.92
65,-1.42,29.99,23,814,41.51,0.9
66,-1.68,29.99,23,836,40.24,0.77
67,-2.35,30.08,23,840,29.83,0.82
68,-2.41,30.13,23,837,44.54,0.9
69,-2.43,30.08,23,834,63.65,0.77
42,-5.14,35.26,1,760,27.06,0.5
43,-4.51,35.12,1,775,0.61,0.5
44,-3.71,35.12,1,974,7.99,0.58
